actor,movie_or_TV_name
Michael Ansara,The First Woman President
Michael Ansara,Police Story
Michael Ansara,Chopper One
Michael Ansara,McMillan & Wife
Michael Ansara,Shootout in a One Dog Town
Michael Ansara,Ordeal
Michael Ansara,Shaft
Michael Ansara,The Doll Squad
Michael Ansara,Mission: Impossible
Michael Ansara,Call to Danger
Michael Ansara,Dear Dead Delilah
Michael Ansara,The Streets of San Francisco
Michael Ansara,Hawaii Five-O
Michael Ansara,Stand Up and Be Counted
Michael Ansara,Bearcats!
Michael Ansara,Hamad and the Pirates
Michael Ansara,Mod Squad
Michael Ansara,The Bill Cosby Show
Michael Ansara,The Phynx
Michael Ansara,Lancer
Michael Ansara,The Name of the Game
Michael Ansara,The Governor & J.J.
Michael Ansara,The Survivors
Michael Ansara,I Dream of Jeannie
Michael Ansara,Target: Harry
Michael Ansara,Guns of the Magnificent Seven
Michael Ansara,The High Chaparral
Michael Ansara,Land of the Giants
Michael Ansara,Here Come the Brides
Michael Ansara,It Takes a Thief
Michael Ansara,Star Trek
Michael Ansara,The Pink Jungle
Michael Ansara,Cowboy in Africa
Michael Ansara,Daring Game
Michael Ansara,Tarzan
Michael Ansara,Sol Madrid
Michael Ansara,The Destructors
Michael Ansara,The Road West
Michael Ansara,The Time Tunnel
Michael Ansara,The Fugitive
Michael Ansara,Gunsmoke
Michael Ansara,How I Spent My Summer Vacation
Michael Ansara,Iron Horse
Michael Ansara,Daniel Boone
Michael Ansara,The Virginian
Michael Ansara,Texas Across the River
Michael Ansara,Bewitched
Michael Ansara,The Girl from U.N.C.L.E.
Michael Ansara,And Now Miguel
Michael Ansara,Lost in Space
Michael Ansara,A Man Called Shenandoah
Michael Ansara,Voyage to the Bottom of the Sea
Michael Ansara,Harum Scarum
Michael Ansara,The Man from U.N.C.L.E.
Michael Ansara,Ben Casey
Michael Ansara,Branded
Jack Shearer,Breadwinners
Jack Shearer,How I Met Your Mother
Jack Shearer,Head Cases
Jack Shearer,Grey's Anatomy
Jack Shearer,The Rain Makers
Jack Shearer,Scrubs
Jack Shearer,City of Ghosts
Jack Shearer,Ally McBeal
Jack Shearer,The Korean War
Jack Shearer,Just Ask My Children
Jack Shearer,Crash Point Zero
Jack Shearer,Heartbreakers
Jack Shearer,The X-Files
Jack Shearer,Malcolm in the Middle
Jack Shearer,The West Wing
Jack Shearer,Running Mates
Jack Shearer,Star Trek: Voyager
Jack Shearer,The '70s
Jack Shearer,ER
Jack Shearer,End of Days
Jack Shearer,JAG
Jack Shearer,Winchell
Jack Shearer,Just Shoot Me!
Jack Shearer,The Unknown Cyclist
Jack Shearer,Break Up
Jack Shearer,The Negotiator
Jack Shearer,Taxman
Jack Shearer,The Practice
Jack Shearer,Senseless
Jack Shearer,NYPD Blue
Jack Shearer,Wag the Dog
Jack Shearer,Dharma & Greg
Jack Shearer,Brooklyn South
